;PWL;TYPE;L2 English;L3 German;L4 French;L5 Swedish;L6 Danish;L7 Norwegian;L8 Finnish;L9 Italian;L10;L11;L12;L13;L14
g_MCfg.MF.KeyConfig[1].KeyStackIndex;212;0;[T] MF:KeyConfig[1]KeyStackIndex;[T] MF:KeyConfig[1]KeyStackIndex;[T] MF:KeyConfig[1]KeyStackIndex;[T] MF:KeyConfig[1]KeyStackIndex;[T] MF:KeyConfig[1]KeyStackIndex;[T] MF:KeyConfig[1]KeyStackIndex;[T] MF:KeyConfig[1]KeyStackIndex;[T] MF:KeyConfig[1]KeyStackIndex;[T] MF:KeyConfig[1]KeyStackIndex;[T] MF:KeyConfig[1]KeyStackIndex;[T] MF:KeyConfig[1]KeyStackIndex;[T] MF:KeyConfig[1]KeyStackIndex;[T] MF:KeyConfig[1]KeyStackIndex
g_MCfg.MF.KeyConfig[1].KeyProgIndex;213;0;[T] MF:KeyConfig[1]KeyProgIndex;[T] MF:KeyConfig[1]KeyProgIndex;[T] MF:KeyConfig[1]KeyProgIndex;[T] MF:KeyConfig[1]KeyProgIndex;[T] MF:KeyConfig[1]KeyProgIndex;[T] MF:KeyConfig[1]KeyProgIndex;[T] MF:KeyConfig[1]KeyProgIndex;[T] MF:KeyConfig[1]KeyProgIndex;[T] MF:KeyConfig[1]KeyProgIndex;[T] MF:KeyConfig[1]KeyProgIndex;[T] MF:KeyConfig[1]KeyProgIndex;[T] MF:KeyConfig[1]KeyProgIndex;[T] MF:KeyConfig[1]KeyProgIndex
g_MCfg.MF.KeyConfig[2].KeyStackIndex;214;0;[T] MF:KeyConfig[2]KeyStackIndex;[T] MF:KeyConfig[2]KeyStackIndex;[T] MF:KeyConfig[2]KeyStackIndex;[T] MF:KeyConfig[2]KeyStackIndex;[T] MF:KeyConfig[2]KeyStackIndex;[T] MF:KeyConfig[2]KeyStackIndex;[T] MF:KeyConfig[2]KeyStackIndex;[T] MF:KeyConfig[2]KeyStackIndex;[T] MF:KeyConfig[2]KeyStackIndex;[T] MF:KeyConfig[2]KeyStackIndex;[T] MF:KeyConfig[2]KeyStackIndex;[T] MF:KeyConfig[2]KeyStackIndex;[T] MF:KeyConfig[2]KeyStackIndex
g_MCfg.MF.KeyConfig[2].KeyProgIndex;215;0;[T] MF:KeyConfig[2]KeyProgIndex;[T] MF:KeyConfig[2]KeyProgIndex;[T] MF:KeyConfig[2]KeyProgIndex;[T] MF:KeyConfig[2]KeyProgIndex;[T] MF:KeyConfig[2]KeyProgIndex;[T] MF:KeyConfig[2]KeyProgIndex;[T] MF:KeyConfig[2]KeyProgIndex;[T] MF:KeyConfig[2]KeyProgIndex;[T] MF:KeyConfig[2]KeyProgIndex;[T] MF:KeyConfig[2]KeyProgIndex;[T] MF:KeyConfig[2]KeyProgIndex;[T] MF:KeyConfig[2]KeyProgIndex;[T] MF:KeyConfig[2]KeyProgIndex
g_MCfg.MF.KeyConfig[3].KeyStackIndex;216;0;[T] MF:KeyConfig[3]KeyStackIndex;[T] MF:KeyConfig[3]KeyStackIndex;[T] MF:KeyConfig[3]KeyStackIndex;[T] MF:KeyConfig[3]KeyStackIndex;[T] MF:KeyConfig[3]KeyStackIndex;[T] MF:KeyConfig[3]KeyStackIndex;[T] MF:KeyConfig[3]KeyStackIndex;[T] MF:KeyConfig[3]KeyStackIndex;[T] MF:KeyConfig[3]KeyStackIndex;[T] MF:KeyConfig[3]KeyStackIndex;[T] MF:KeyConfig[3]KeyStackIndex;[T] MF:KeyConfig[3]KeyStackIndex;[T] MF:KeyConfig[3]KeyStackIndex
g_MCfg.MF.KeyConfig[3].KeyProgIndex;217;0;[T] MF:KeyConfig[3]KeyProgIndex;[T] MF:KeyConfig[3]KeyProgIndex;[T] MF:KeyConfig[3]KeyProgIndex;[T] MF:KeyConfig[3]KeyProgIndex;[T] MF:KeyConfig[3]KeyProgIndex;[T] MF:KeyConfig[3]KeyProgIndex;[T] MF:KeyConfig[3]KeyProgIndex;[T] MF:KeyConfig[3]KeyProgIndex;[T] MF:KeyConfig[3]KeyProgIndex;[T] MF:KeyConfig[3]KeyProgIndex;[T] MF:KeyConfig[3]KeyProgIndex;[T] MF:KeyConfig[3]KeyProgIndex;[T] MF:KeyConfig[3]KeyProgIndex
g_MCfg.MF.KeyConfig[4].KeyStackIndex;218;0;[T] MF:KeyConfig[4]KeyStackIndex;[T] MF:KeyConfig[4]KeyStackIndex;[T] MF:KeyConfig[4]KeyStackIndex;[T] MF:KeyConfig[4]KeyStackIndex;[T] MF:KeyConfig[4]KeyStackIndex;[T] MF:KeyConfig[4]KeyStackIndex;[T] MF:KeyConfig[4]KeyStackIndex;[T] MF:KeyConfig[4]KeyStackIndex;[T] MF:KeyConfig[4]KeyStackIndex;[T] MF:KeyConfig[4]KeyStackIndex;[T] MF:KeyConfig[4]KeyStackIndex;[T] MF:KeyConfig[4]KeyStackIndex;[T] MF:KeyConfig[4]KeyStackIndex
g_MCfg.MF.KeyConfig[4].KeyProgIndex;219;0;[T] MF:KeyConfig[4]KeyProgIndex;[T] MF:KeyConfig[4]KeyProgIndex;[T] MF:KeyConfig[4]KeyProgIndex;[T] MF:KeyConfig[4]KeyProgIndex;[T] MF:KeyConfig[4]KeyProgIndex;[T] MF:KeyConfig[4]KeyProgIndex;[T] MF:KeyConfig[4]KeyProgIndex;[T] MF:KeyConfig[4]KeyProgIndex;[T] MF:KeyConfig[4]KeyProgIndex;[T] MF:KeyConfig[4]KeyProgIndex;[T] MF:KeyConfig[4]KeyProgIndex;[T] MF:KeyConfig[4]KeyProgIndex;[T] MF:KeyConfig[4]KeyProgIndex
g_MCfg.MF.KeyConfig[5].KeyStackIndex;220;0;[T] MF:KeyConfig[5]KeyStackIndex;[T] MF:KeyConfig[5]KeyStackIndex;[T] MF:KeyConfig[5]KeyStackIndex;[T] MF:KeyConfig[5]KeyStackIndex;[T] MF:KeyConfig[5]KeyStackIndex;[T] MF:KeyConfig[5]KeyStackIndex;[T] MF:KeyConfig[5]KeyStackIndex;[T] MF:KeyConfig[5]KeyStackIndex;[T] MF:KeyConfig[5]KeyStackIndex;[T] MF:KeyConfig[5]KeyStackIndex;[T] MF:KeyConfig[5]KeyStackIndex;[T] MF:KeyConfig[5]KeyStackIndex;[T] MF:KeyConfig[5]KeyStackIndex
g_MCfg.MF.KeyConfig[5].KeyProgIndex;221;0;[T] MF:KeyConfig[5]KeyProgIndex;[T] MF:KeyConfig[5]KeyProgIndex;[T] MF:KeyConfig[5]KeyProgIndex;[T] MF:KeyConfig[5]KeyProgIndex;[T] MF:KeyConfig[5]KeyProgIndex;[T] MF:KeyConfig[5]KeyProgIndex;[T] MF:KeyConfig[5]KeyProgIndex;[T] MF:KeyConfig[5]KeyProgIndex;[T] MF:KeyConfig[5]KeyProgIndex;[T] MF:KeyConfig[5]KeyProgIndex;[T] MF:KeyConfig[5]KeyProgIndex;[T] MF:KeyConfig[5]KeyProgIndex;[T] MF:KeyConfig[5]KeyProgIndex
g_MCfg.MF.KeyConfig[6].KeyStackIndex;222;0;[T] MF:KeyConfig[6]KeyStackIndex;[T] MF:KeyConfig[6]KeyStackIndex;[T] MF:KeyConfig[6]KeyStackIndex;[T] MF:KeyConfig[6]KeyStackIndex;[T] MF:KeyConfig[6]KeyStackIndex;[T] MF:KeyConfig[6]KeyStackIndex;[T] MF:KeyConfig[6]KeyStackIndex;[T] MF:KeyConfig[6]KeyStackIndex;[T] MF:KeyConfig[6]KeyStackIndex;[T] MF:KeyConfig[6]KeyStackIndex;[T] MF:KeyConfig[6]KeyStackIndex;[T] MF:KeyConfig[6]KeyStackIndex;[T] MF:KeyConfig[6]KeyStackIndex
g_MCfg.MF.KeyConfig[6].KeyProgIndex;223;0;[T] MF:KeyConfig[6]KeyProgIndex;[T] MF:KeyConfig[6]KeyProgIndex;[T] MF:KeyConfig[6]KeyProgIndex;[T] MF:KeyConfig[6]KeyProgIndex;[T] MF:KeyConfig[6]KeyProgIndex;[T] MF:KeyConfig[6]KeyProgIndex;[T] MF:KeyConfig[6]KeyProgIndex;[T] MF:KeyConfig[6]KeyProgIndex;[T] MF:KeyConfig[6]KeyProgIndex;[T] MF:KeyConfig[6]KeyProgIndex;[T] MF:KeyConfig[6]KeyProgIndex;[T] MF:KeyConfig[6]KeyProgIndex;[T] MF:KeyConfig[6]KeyProgIndex
g_MCfg.MF.KeyConfig[7].KeyStackIndex;224;0;[T] MF:KeyConfig[7]KeyStackIndex;[T] MF:KeyConfig[7]KeyStackIndex;[T] MF:KeyConfig[7]KeyStackIndex;[T] MF:KeyConfig[7]KeyStackIndex;[T] MF:KeyConfig[7]KeyStackIndex;[T] MF:KeyConfig[7]KeyStackIndex;[T] MF:KeyConfig[7]KeyStackIndex;[T] MF:KeyConfig[7]KeyStackIndex;[T] MF:KeyConfig[7]KeyStackIndex;[T] MF:KeyConfig[7]KeyStackIndex;[T] MF:KeyConfig[7]KeyStackIndex;[T] MF:KeyConfig[7]KeyStackIndex;[T] MF:KeyConfig[7]KeyStackIndex
g_MCfg.MF.KeyConfig[7].KeyProgIndex;225;0;[T] MF:KeyConfig[7]KeyProgIndex;[T] MF:KeyConfig[7]KeyProgIndex;[T] MF:KeyConfig[7]KeyProgIndex;[T] MF:KeyConfig[7]KeyProgIndex;[T] MF:KeyConfig[7]KeyProgIndex;[T] MF:KeyConfig[7]KeyProgIndex;[T] MF:KeyConfig[7]KeyProgIndex;[T] MF:KeyConfig[7]KeyProgIndex;[T] MF:KeyConfig[7]KeyProgIndex;[T] MF:KeyConfig[7]KeyProgIndex;[T] MF:KeyConfig[7]KeyProgIndex;[T] MF:KeyConfig[7]KeyProgIndex;[T] MF:KeyConfig[7]KeyProgIndex
g_MCfg.MF.KeyConfig[8].KeyStackIndex;226;0;[T] MF:KeyConfig[8]KeyStackIndex;[T] MF:KeyConfig[8]KeyStackIndex;[T] MF:KeyConfig[8]KeyStackIndex;[T] MF:KeyConfig[8]KeyStackIndex;[T] MF:KeyConfig[8]KeyStackIndex;[T] MF:KeyConfig[8]KeyStackIndex;[T] MF:KeyConfig[8]KeyStackIndex;[T] MF:KeyConfig[8]KeyStackIndex;[T] MF:KeyConfig[8]KeyStackIndex;[T] MF:KeyConfig[8]KeyStackIndex;[T] MF:KeyConfig[8]KeyStackIndex;[T] MF:KeyConfig[8]KeyStackIndex;[T] MF:KeyConfig[8]KeyStackIndex
g_MCfg.MF.KeyConfig[8].KeyProgIndex;227;0;[T] MF:KeyConfig[8]KeyProgIndex;[T] MF:KeyConfig[8]KeyProgIndex;[T] MF:KeyConfig[8]KeyProgIndex;[T] MF:KeyConfig[8]KeyProgIndex;[T] MF:KeyConfig[8]KeyProgIndex;[T] MF:KeyConfig[8]KeyProgIndex;[T] MF:KeyConfig[8]KeyProgIndex;[T] MF:KeyConfig[8]KeyProgIndex;[T] MF:KeyConfig[8]KeyProgIndex;[T] MF:KeyConfig[8]KeyProgIndex;[T] MF:KeyConfig[8]KeyProgIndex;[T] MF:KeyConfig[8]KeyProgIndex;[T] MF:KeyConfig[8]KeyProgIndex
g_MCfg.MF.KeyConfig[9].KeyStackIndex;228;0;[T] MF:KeyConfig[9]KeyStackIndex;[T] MF:KeyConfig[9]KeyStackIndex;[T] MF:KeyConfig[9]KeyStackIndex;[T] MF:KeyConfig[9]KeyStackIndex;[T] MF:KeyConfig[9]KeyStackIndex;[T] MF:KeyConfig[9]KeyStackIndex;[T] MF:KeyConfig[9]KeyStackIndex;[T] MF:KeyConfig[9]KeyStackIndex;[T] MF:KeyConfig[9]KeyStackIndex;[T] MF:KeyConfig[9]KeyStackIndex;[T] MF:KeyConfig[9]KeyStackIndex;[T] MF:KeyConfig[9]KeyStackIndex;[T] MF:KeyConfig[9]KeyStackIndex
g_MCfg.MF.KeyConfig[9].KeyProgIndex;229;0;[T] MF:KeyConfig[9]KeyProgIndex;[T] MF:KeyConfig[9]KeyProgIndex;[T] MF:KeyConfig[9]KeyProgIndex;[T] MF:KeyConfig[9]KeyProgIndex;[T] MF:KeyConfig[9]KeyProgIndex;[T] MF:KeyConfig[9]KeyProgIndex;[T] MF:KeyConfig[9]KeyProgIndex;[T] MF:KeyConfig[9]KeyProgIndex;[T] MF:KeyConfig[9]KeyProgIndex;[T] MF:KeyConfig[9]KeyProgIndex;[T] MF:KeyConfig[9]KeyProgIndex;[T] MF:KeyConfig[9]KeyProgIndex;[T] MF:KeyConfig[9]KeyProgIndex
g_MCfg.MF.KeyConfig[10].KeyStackIndex;230;0;[T] MF:KeyConfig[10]KeyStackIndex;[T] MF:KeyConfig[10]KeyStackIndex;[T] MF:KeyConfig[10]KeyStackIndex;[T] MF:KeyConfig[10]KeyStackIndex;[T] MF:KeyConfig[10]KeyStackIndex;[T] MF:KeyConfig[10]KeyStackIndex;[T] MF:KeyConfig[10]KeyStackIndex;[T] MF:KeyConfig[10]KeyStackIndex;[T] MF:KeyConfig[10]KeyStackIndex;[T] MF:KeyConfig[10]KeyStackIndex;[T] MF:KeyConfig[10]KeyStackIndex;[T] MF:KeyConfig[10]KeyStackIndex;[T] MF:KeyConfig[10]KeyStackIndex
g_MCfg.MF.KeyConfig[10].KeyProgIndex;231;0;[T] MF:KeyConfig[10]KeyProgIndex;[T] MF:KeyConfig[10]KeyProgIndex;[T] MF:KeyConfig[10]KeyProgIndex;[T] MF:KeyConfig[10]KeyProgIndex;[T] MF:KeyConfig[10]KeyProgIndex;[T] MF:KeyConfig[10]KeyProgIndex;[T] MF:KeyConfig[10]KeyProgIndex;[T] MF:KeyConfig[10]KeyProgIndex;[T] MF:KeyConfig[10]KeyProgIndex;[T] MF:KeyConfig[10]KeyProgIndex;[T] MF:KeyConfig[10]KeyProgIndex;[T] MF:KeyConfig[10]KeyProgIndex;[T] MF:KeyConfig[10]KeyProgIndex
g_MCfg.Duo.AutoPrgSelect[0];232;0;[T] Duo:AutoPrgSelect[0];[T] Duo:AutoPrgSelect[0];[T] Duo:AutoPrgSelect[0];[T] Duo:AutoPrgSelect[0];[T] Duo:AutoPrgSelect[0];[T] Duo:AutoPrgSelect[0];[T] Duo:AutoPrgSelect[0];[T] Duo:AutoPrgSelect[0];[T] Duo:AutoPrgSelect[0];[T] Duo:AutoPrgSelect[0];[T] Duo:AutoPrgSelect[0];[T] Duo:AutoPrgSelect[0];[T] Duo:AutoPrgSelect[0]
g_MCfg.Duo.AutoPrgSelect[1];233;0;[T] Duo:AutoPrgSelect[1];[T] Duo:AutoPrgSelect[1];[T] Duo:AutoPrgSelect[1];[T] Duo:AutoPrgSelect[1];[T] Duo:AutoPrgSelect[1];[T] Duo:AutoPrgSelect[1];[T] Duo:AutoPrgSelect[1];[T] Duo:AutoPrgSelect[1];[T] Duo:AutoPrgSelect[1];[T] Duo:AutoPrgSelect[1];[T] Duo:AutoPrgSelect[1];[T] Duo:AutoPrgSelect[1];[T] Duo:AutoPrgSelect[1]
g_MCfg.Duo.AutoPrgSelect[2];234;0;[T] Duo:AutoPrgSelect[2];[T] Duo:AutoPrgSelect[2];[T] Duo:AutoPrgSelect[2];[T] Duo:AutoPrgSelect[2];[T] Duo:AutoPrgSelect[2];[T] Duo:AutoPrgSelect[2];[T] Duo:AutoPrgSelect[2];[T] Duo:AutoPrgSelect[2];[T] Duo:AutoPrgSelect[2];[T] Duo:AutoPrgSelect[2];[T] Duo:AutoPrgSelect[2];[T] Duo:AutoPrgSelect[2];[T] Duo:AutoPrgSelect[2]
g_MCfg.Duo.AutoPrgSelect[3];235;0;[T] Duo:AutoPrgSelect[3];[T] Duo:AutoPrgSelect[3];[T] Duo:AutoPrgSelect[3];[T] Duo:AutoPrgSelect[3];[T] Duo:AutoPrgSelect[3];[T] Duo:AutoPrgSelect[3];[T] Duo:AutoPrgSelect[3];[T] Duo:AutoPrgSelect[3];[T] Duo:AutoPrgSelect[3];[T] Duo:AutoPrgSelect[3];[T] Duo:AutoPrgSelect[3];[T] Duo:AutoPrgSelect[3];[T] Duo:AutoPrgSelect[3]
g_MCfg.Duo.RcpSelect[0];236;0;[T] Duo:RcpSelect[0];[T] Duo:RcpSelect[0];[T] Duo:RcpSelect[0];[T] Duo:RcpSelect[0];[T] Duo:RcpSelect[0];[T] Duo:RcpSelect[0];[T] Duo:RcpSelect[0];[T] Duo:RcpSelect[0];[T] Duo:RcpSelect[0];[T] Duo:RcpSelect[0];[T] Duo:RcpSelect[0];[T] Duo:RcpSelect[0];[T] Duo:RcpSelect[0]
g_MCfg.Duo.RcpSelect[1];237;0;[T] Duo:RcpSelect[1];[T] Duo:RcpSelect[1];[T] Duo:RcpSelect[1];[T] Duo:RcpSelect[1];[T] Duo:RcpSelect[1];[T] Duo:RcpSelect[1];[T] Duo:RcpSelect[1];[T] Duo:RcpSelect[1];[T] Duo:RcpSelect[1];[T] Duo:RcpSelect[1];[T] Duo:RcpSelect[1];[T] Duo:RcpSelect[1];[T] Duo:RcpSelect[1]
g_MCfg.Duo.RcpSelect[2];238;0;[T] Duo:RcpSelect[2];[T] Duo:RcpSelect[2];[T] Duo:RcpSelect[2];[T] Duo:RcpSelect[2];[T] Duo:RcpSelect[2];[T] Duo:RcpSelect[2];[T] Duo:RcpSelect[2];[T] Duo:RcpSelect[2];[T] Duo:RcpSelect[2];[T] Duo:RcpSelect[2];[T] Duo:RcpSelect[2];[T] Duo:RcpSelect[2];[T] Duo:RcpSelect[2]
g_MCfg.Duo.RcpSelect[3];239;0;[T] Duo:RcpSelect[3];[T] Duo:RcpSelect[3];[T] Duo:RcpSelect[3];[T] Duo:RcpSelect[3];[T] Duo:RcpSelect[3];[T] Duo:RcpSelect[3];[T] Duo:RcpSelect[3];[T] Duo:RcpSelect[3];[T] Duo:RcpSelect[3];[T] Duo:RcpSelect[3];[T] Duo:RcpSelect[3];[T] Duo:RcpSelect[3];[T] Duo:RcpSelect[3]
g_MCfg.Duo.RaiseDuoInletDelay;240;0;[T] Duo:RaiseDuoInletDelay;[T] Duo:RaiseDuoInletDelay;[T] Duo:RaiseDuoInletDelay;[T] Duo:RaiseDuoInletDelay;[T] Duo:RaiseDuoInletDelay;[T] Duo:RaiseDuoInletDelay;[T] Duo:RaiseDuoInletDelay;[T] Duo:RaiseDuoInletDelay;[T] Duo:RaiseDuoInletDelay;[T] Duo:RaiseDuoInletDelay;[T] Duo:RaiseDuoInletDelay;[T] Duo:RaiseDuoInletDelay;[T] Duo:RaiseDuoInletDelay
g_MCfg.Duo.TowelsXADistanceFactor;241;0;[T] Duo:TowelsXADistanceFactor;[T] Duo:TowelsXADistanceFactor;[T] Duo:TowelsXADistanceFactor;[T] Duo:TowelsXADistanceFactor;[T] Duo:TowelsXADistanceFactor;[T] Duo:TowelsXADistanceFactor;[T] Duo:TowelsXADistanceFactor;[T] Duo:TowelsXADistanceFactor;[T] Duo:TowelsXADistanceFactor;[T] Duo:TowelsXADistanceFactor;[T] Duo:TowelsXADistanceFactor;[T] Duo:TowelsXADistanceFactor;[T] Duo:TowelsXADistanceFactor
g_MCfg.MachineID;242;0;[T] MachineID;[T] MachineID;[T] MachineID;[T] MachineID;[T] MachineID;[T] MachineID;[T] MachineID;[T] MachineID;[T] MachineID;[T] MachineID;[T] MachineID;[T] MachineID;[T] MachineID
g_MCfg.GlobeUserName;243;0;[T] GlobeUserName;[T] GlobeUserName;[T] GlobeUserName;[T] GlobeUserName;[T] GlobeUserName;[T] GlobeUserName;[T] GlobeUserName;[T] GlobeUserName;[T] GlobeUserName;[T] GlobeUserName;[T] GlobeUserName;[T] GlobeUserName;[T] GlobeUserName
g_MCfg.GlobePassword;244;0;[T] GlobePassword;[T] GlobePassword;[T] GlobePassword;[T] GlobePassword;[T] GlobePassword;[T] GlobePassword;[T] GlobePassword;[T] GlobePassword;[T] GlobePassword;[T] GlobePassword;[T] GlobePassword;[T] GlobePassword;[T] GlobePassword
g_MCfg.Timezone.Zone;245;0;[T] Timezone:Zone;[T] Timezone:Zone;[T] Timezone:Zone;[T] Timezone:Zone;[T] Timezone:Zone;[T] Timezone:Zone;[T] Timezone:Zone;[T] Timezone:Zone;[T] Timezone:Zone;[T] Timezone:Zone;[T] Timezone:Zone;[T] Timezone:Zone;[T] Timezone:Zone
g_MCfg.Timezone.DaylightSavings;246;0;[F] Timezone:DaylightSavings;[F] Timezone:DaylightSavings;[F] Timezone:DaylightSavings;[F] Timezone:DaylightSavings;[F] Timezone:DaylightSavings;[F] Timezone:DaylightSavings;[F] Timezone:DaylightSavings;[F] Timezone:DaylightSavings;[F] Timezone:DaylightSavings;[F] Timezone:DaylightSavings;[F] Timezone:DaylightSavings;[F] Timezone:DaylightSavings;[F] Timezone:DaylightSavings
g_MCfg.Trace2File;247;0;[F] Trace2File;[F] Trace2File;[F] Trace2File;[F] Trace2File;[F] Trace2File;[F] Trace2File;[F] Trace2File;[F] Trace2File;[F] Trace2File;[F] Trace2File;[F] Trace2File;[F] Trace2File;[F] Trace2File
g_MCfg.EnableCustArt;248;0;[F] EnableCustArt;[F] EnableCustArt;[F] EnableCustArt;[F] EnableCustArt;[F] EnableCustArt;[F] EnableCustArt;[F] EnableCustArt;[F] EnableCustArt;[F] EnableCustArt;[F] EnableCustArt;[F] EnableCustArt;[F] EnableCustArt;[F] EnableCustArt
g_MCfg.EnableOperator;249;0;[F] EnableOperator;[F] EnableOperator;[F] EnableOperator;[F] EnableOperator;[F] EnableOperator;[F] EnableOperator;[F] EnableOperator;[F] EnableOperator;[F] EnableOperator;[F] EnableOperator;[F] EnableOperator;[F] EnableOperator;[F] EnableOperator
g_MCfg.FactorySettingsUpdate;250;0;[F] FactorySettingsUpdate;[F] FactorySettingsUpdate;[F] FactorySettingsUpdate;[F] FactorySettingsUpdate;[F] FactorySettingsUpdate;[F] FactorySettingsUpdate;[F] FactorySettingsUpdate;[F] FactorySettingsUpdate;[F] FactorySettingsUpdate;[F] FactorySettingsUpdate;[F] FactorySettingsUpdate;[F] FactorySettingsUpdate;[F] FactorySettingsUpdate
g_MCfg.Extra1;251;0;[T] Extra1: Spare;[T] Extra1: Spare;[T] Extra1: Spare;[T] Extra1: Spare;[T] Extra1: Spare;[T] Extra1: Spare;[T] Extra1: Spare;[T] Extra1: Spare;[T] Extra1: Spare;[T] Extra1: Spare;[T] Extra1: Spare;[T] Extra1: Spare;[T] Extra1: Spare
g_MCfg.Extra2;252;0;[T] Extra2: Spare;[T] Extra2: Spare;[T] Extra2: Spare;[T] Extra2: Spare;[T] Extra2: Spare;[T] Extra2: Spare;[T] Extra2: Spare;[T] Extra2: Spare;[T] Extra2: Spare;[T] Extra2: Spare;[T] Extra2: Spare;[T] Extra2: Spare;[T] Extra2: Spare
g_MCfg.Extra3;253;0;[T] Extra3: Spare;[T] Extra3: Spare;[T] Extra3: Spare;[T] Extra3: Spare;[T] Extra3: Spare;[T] Extra3: Spare;[T] Extra3: Spare;[T] Extra3: Spare;[T] Extra3: Spare;[T] Extra3: Spare;[T] Extra3: Spare;[T] Extra3: Spare;[T] Extra3: Spare
g_MCfg.Extra4;254;0;[T] Extra4: Spare;[T] Extra4: Spare;[T] Extra4: Spare;[T] Extra4: Spare;[T] Extra4: Spare;[T] Extra4: Spare;[T] Extra4: Spare;[T] Extra4: Spare;[T] Extra4: Spare;[T] Extra4: Spare;[T] Extra4: Spare;[T] Extra4: Spare;[T] Extra4: Spare
g_MCfg.Extra5;255;0;[T] Extra5: Spare;[T] Extra5: Spare;[T] Extra5: Spare;[T] Extra5: Spare;[T] Extra5: Spare;[T] Extra5: Spare;[T] Extra5: Spare;[T] Extra5: Spare;[T] Extra5: Spare;[T] Extra5: Spare;[T] Extra5: Spare;[T] Extra5: Spare;[T] Extra5: Spare
